15:15:23.136	90,
15:15:23.392	90,
15:15:23.654	90,
15:15:23.889	90,
15:15:24.142	90,
15:15:24.399	90,
15:15:24.654	90,
15:15:24.909	90,
15:15:25.164	90,
15:15:25.421	90,
15:15:25.677	90,
15:15:25.913	90,
15:15:26.171	90,
15:15:26.420	90,
15:15:26.682	90,
15:15:26.937	90,
15:15:27.181	90,
15:15:27.433	90,
15:15:27.689	90,
15:15:27.945	90,
15:15:28.204	90,
15:15:28.439	90,
15:15:28.696	90,
15:15:28.950	90,
15:15:29.207	90,
15:15:29.464	90,
15:15:29.702	90,
15:15:29.957	90,
15:15:30.214	90,
15:15:30.468	90,
15:15:30.724	90,
15:15:30.981	90,
15:15:31.213	90,
15:15:31.474	90,
15:15:31.727	90,
15:15:31.984	90,
15:15:32.237	90,
15:15:32.485	90,
15:15:32.741	90,
15:15:32.984	90,
15:15:33.248	90,
15:15:33.495	90,
15:15:33.749	90,
15:15:34.003	90,
15:15:34.257	89,
15:15:34.500	89,
15:15:34.752	89,
15:15:35.008	89,
15:15:35.262	89,
15:15:35.517	89,
15:15:35.772	89,
15:15:36.027	89,
15:15:36.280	89,
15:15:36.520	89,
15:15:36.774	89,
15:15:37.029	87,
15:15:37.281	87,
15:15:37.536	87,
15:15:37.792	87,
15:15:38.045	87,
15:15:38.298	87,
15:15:38.537	87,
15:15:38.792	87,
15:15:39.050	87,
15:15:39.306	86,
15:15:39.560	86,
15:15:39.800	86,
15:15:40.057	86,
15:15:40.312	86,
15:15:40.567	86,
15:15:40.812	84,
15:15:41.069	84,
15:15:41.328	84,
15:15:41.567	84,
15:15:41.826	84,
15:15:42.080	84,
15:15:42.330	84,
15:15:42.594	83,
15:15:42.844	83,
15:15:43.090	83,
15:15:43.345	83,
15:15:43.600	83,
15:15:43.844	82,
15:15:44.100	82,
15:15:44.357	82,
15:15:44.610	82,
15:15:44.852	82,
15:15:45.107	81,
15:15:45.364	81,
15:15:45.620	81,
15:15:45.879	81,
15:15:46.117	81,
15:15:46.367	80,
15:15:46.621	80,
15:15:46.879	80,
15:15:47.135	80,
15:15:47.386	80,
15:15:47.625	78,
15:15:47.878	78,
15:15:48.132	78,
15:15:48.386	78,
15:15:48.641	78,
15:15:48.895	78,
15:15:49.150	78,
15:15:49.404	78,
15:15:49.659	78,
15:15:49.900	77,
15:15:50.152	77,
15:15:50.406	77,
15:15:50.660	77,
15:15:50.912	77,
15:15:51.166	76,
15:15:51.419	76,
15:15:51.677	76,
15:15:51.933	76,
15:15:52.173	76,
15:15:52.426	74,
15:15:52.685	74,
15:15:52.940	74,
15:15:53.192	74,
15:15:53.435	74,
15:15:53.698	74,
15:15:53.951	74,
15:15:54.193	74,
15:15:54.449	74,
15:15:54.708	74,
15:15:54.965	74,
15:15:55.207	74,
15:15:55.461	73,
15:15:55.718	73,
15:15:55.973	73,
15:15:56.228	73,
15:15:56.469	73,
15:15:56.723	73,
15:15:56.975	71,
15:15:57.237	71,
15:15:57.486	71,
15:15:57.743	71,
15:15:57.983	71,
15:15:58.235	71,
15:15:58.489	71,
15:15:58.741	71,
15:15:58.997	71,
15:15:59.249	70,
15:15:59.503	70,
15:15:59.756	70,
15:16:00.008	70,
15:16:00.263	70,
15:16:00.506	70,
15:16:00.756	70,
15:16:01.011	70,
15:16:01.266	69,
15:16:01.521	69,
15:16:01.777	69,
15:16:02.031	69,
15:16:02.271	69,
15:16:02.524	69,
15:16:02.781	69,
15:16:03.036	69,
15:16:03.291	68,
15:16:03.531	68,
15:16:03.786	68,
15:16:04.046	68,
15:16:04.303	68,
15:16:04.560	68,
15:16:04.799	68,
15:16:05.055	67,
15:16:05.312	67,
15:16:05.567	67,
15:16:05.813	67,
15:16:06.068	67,
15:16:06.327	67,
15:16:06.579	67,
15:16:06.817	67,
15:16:07.073	67,
15:16:07.329	67,
15:16:07.585	67,
15:16:07.841	67,
15:16:08.083	65,
15:16:08.338	65,
15:16:08.595	65,
15:16:08.849	65,
15:16:09.108	65,
15:16:09.344	65,
15:16:09.606	65,
15:16:09.857	65,
15:16:10.116	65,
15:16:10.366	65,
15:16:10.608	65,
15:16:10.863	64,
15:16:11.118	64,
15:16:11.370	64,
15:16:11.623	64,
15:16:11.878	64,
15:16:12.131	64,
15:16:12.382	64,
15:16:12.619	64,
15:16:12.875	63,
15:16:13.135	63,
15:16:13.385	63,
15:16:13.641	63,
15:16:13.896	63,
15:16:14.152	63,
15:16:14.392	63,
15:16:14.645	63,
15:16:14.903	63,
15:16:15.162	63,
15:16:15.402	63,
15:16:15.656	63,
15:16:15.912	63,
15:16:16.165	62,
15:16:16.416	62,
15:16:16.672	62,
15:16:16.925	62,
15:16:17.166	62,
15:16:17.422	62,
15:16:17.678	62,
15:16:17.937	62,
15:16:18.192	62,
15:16:18.434	62,
15:16:18.688	62,
15:16:18.937	62,
15:16:19.194	61,
15:16:19.451	61,
15:16:19.696	61,
15:16:19.949	61,
15:16:20.208	61,
15:16:20.462	61,
15:16:20.702	61,
15:16:20.956	61,
15:16:21.212	61,
15:16:21.468	61,
15:16:21.724	61,
15:16:21.978	61,
15:16:22.229	61,
15:16:22.474	61,
15:16:22.717	60,
15:16:22.984	60,
15:16:23.257	60,
15:16:23.496	60,
15:16:23.737	60,
15:16:23.991	60,
15:16:24.249	60,
15:16:24.506	60,
15:16:24.757	59,
15:16:25.008	59,
15:16:25.252	59,
15:16:25.509	59,
15:16:25.762	59,
15:16:26.017	59,
15:16:26.270	59,
15:16:26.522	59,
15:16:26.762	59,
15:16:27.016	59,
15:16:27.272	59,
15:16:27.527	59,
15:16:27.782	59,
15:16:28.036	58,
15:16:28.274	58,
15:16:28.533	58,
15:16:28.784	58,
15:16:29.054	58,
15:16:29.294	58,
15:16:29.568	58,
15:16:29.792	58,
15:16:30.048	58,
15:16:30.304	58,
15:16:30.563	58,
15:16:30.802	58,
15:16:31.057	58,
15:16:31.312	58,
15:16:31.564	58,
15:16:31.825	57,
15:16:32.080	57,
15:16:32.324	57,
15:16:32.578	57,
15:16:32.832	57,
15:16:33.090	57,
15:16:33.330	57,
15:16:33.587	57,
15:16:33.842	57,
15:16:34.097	57,
15:16:34.352	57,
15:16:34.595	57,
15:16:34.847	57,
15:16:35.105	57,
15:16:35.362	57,
15:16:35.615	57,
15:16:35.869	56,
15:16:36.103	56,
15:16:36.395	56,
15:16:36.616	56,
15:16:36.875	56,
15:16:37.129	56,
15:16:37.368	56,
15:16:37.625	56,
15:16:37.880	56,
15:16:38.133	56,
15:16:38.389	56,
15:16:38.635	56,
15:16:38.889	56,
15:16:39.145	56,
15:16:39.399	54,
15:16:39.657	54,
15:16:39.897	54,
15:16:40.147	54,
15:16:40.401	54,
15:16:40.653	55,
15:16:40.908	55,
15:16:41.179	55,
15:16:41.403	55,
15:16:41.658	55,
15:16:41.915	55,
15:16:42.173	55,
15:16:42.427	55,
15:16:42.679	55,
15:16:42.933	55,
15:16:43.203	55,
15:16:43.439	55,
15:16:43.693	55,
15:16:43.933	55,
15:16:44.188	55,
15:16:44.445	54,
15:16:44.698	54,
15:16:44.953	54,
15:16:45.195	54,
15:16:45.450	54,
15:16:45.705	54,
15:16:45.961	54,
15:16:46.218	54,
15:16:46.469	54,
15:16:46.711	54,
15:16:46.970	54,
15:16:47.223	54,
15:16:47.478	54,
15:16:47.733	54,
15:16:47.990	54,
15:16:48.230	54,
15:16:48.485	54,
15:16:48.737	53,
15:16:48.998	53,
15:16:49.252	53,
15:16:49.495	53,
15:16:49.749	53,
15:16:50.006	53,
15:16:50.260	53,
15:16:50.506	53,
15:16:50.761	53,
15:16:51.017	53,
15:16:51.255	53,
15:16:51.507	53,
15:16:51.765	53,
15:16:52.021	53,
15:16:52.277	53,
15:16:52.515	53,
15:16:52.774	53,
15:16:53.026	52,
15:16:53.283	52,
15:16:53.536	52,
15:16:53.791	52,
15:16:54.028	52,
15:16:54.283	52,
15:16:54.544	52,
15:16:54.798	52,
15:16:55.054	52,
15:16:55.319	52,
15:16:55.544	52,
15:16:55.799	52,
15:16:56.054	52,
15:16:56.309	52,
15:16:56.565	52,
15:16:56.806	52,
15:16:57.066	52,
15:16:57.324	51,
15:16:57.576	51,
15:16:57.834	51,
15:16:58.080	51,
